Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Houston,16,2,.889,33,4,.892,75.3,61.0,18.9,4.6,NCAA Tournament; Reg. Season Champion
2,Cincinnati,14,4,.778,28,7,.800,71.7,62.7,14.5,5.5,NCAA Tournament; Conf. Tournament Champion
3,Central Florida,13,5,.722,24,9,.727,72.3,64.5,13.4,5.6,NCAA Tournament
3,Temple,13,5,.722,23,10,.697,74.7,71.5,8.2,4.9,NCAA Tournament
5,Memphis,11,7,.611,22,14,.611,80.1,74.4,10.7,5.1,
6,Wichita State,10,8,.556,22,15,.595,70.5,68.7,7.7,5.9,
7,South Florida,8,10,.444,24,14,.632,72.4,67.2,6.0,1.7,
7,Tulsa,8,10,.444,18,14,.563,71.8,71.0,4.6,3.9,
9,Connecticut,6,12,.333,16,17,.485,73.8,71.3,6.8,4.3,
9,Southern Methodist,6,12,.333,15,17,.469,72.0,70.3,5.8,4.1,
11,East Carolina,3,15,.167,10,21,.323,67.4,74.2,-5.5,1.3,
12,Tulane,0,18,.000,4,27,.129,67.2,77.5,-6.7,3.6,
