Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Saint Joseph's,16,0,1.000,30,2,.938,77.4,62.3,20.0,5.0,NCAA Tournament; Reg. Season Champion
2,Temple,9,7,.563,15,14,.517,65.1,64.7,5.6,5.2,
3,Rhode Island,7,9,.438,20,14,.588,68.9,64.8,7.2,2.8,
4,Massachusetts,4,12,.250,10,19,.345,68.1,73.0,-2.3,2.6,
5,St. Bonaventure,3,13,.188,7,21,.250,68.0,79.3,-7.1,4.2,
5,Fordham,3,13,.188,6,22,.214,62.0,74.1,-8.2,3.9,
1,Dayton,12,4,.750,24,9,.727,68.0,64.5,7.1,3.6,NCAA Tournament; Reg. Season Champion
2,George Washington,11,5,.688,18,12,.600,75.0,70.1,9.1,4.1,
3,Xavier,10,6,.625,26,11,.703,71.2,63.2,13.8,5.8,NCAA Tournament; Conf. Tournament Champion
3,Richmond,10,6,.625,20,13,.606,64.5,59.5,10.1,5.1,NCAA Tournament
5,Duquesne,6,10,.375,12,17,.414,70.3,71.4,1.2,2.2,
6,La Salle,5,11,.313,10,20,.333,65.1,69.9,-1.9,2.9,
