Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Xavier,15,1,.938,24,8,.750,72.1,64.6,11.9,4.4,NCAA Tournament; Reg. Season Champion
2,Temple,14,2,.875,26,8,.765,70.6,62.5,12.4,4.2,NCAA Tournament
3,Richmond,13,3,.813,29,8,.784,69.6,61.2,11.2,2.8,NCAA Tournament; Conf. Tournament Champion
4,Duquesne,10,6,.625,19,13,.594,77.9,68.0,10.3,1.5,
4,George Washington,10,6,.625,17,14,.548,64.9,65.3,-0.1,0.4,
6,Rhode Island,9,7,.563,20,14,.588,68.1,66.7,3.3,1.9,
7,St. Bonaventure,8,8,.500,16,15,.516,69.5,70.0,1.3,1.7,
8,Dayton,7,9,.438,22,14,.611,67.0,65.4,4.9,3.2,
8,Massachusetts,7,9,.438,15,15,.500,66.3,68.0,-0.8,1.9,
10,La Salle,6,10,.375,15,18,.455,76.8,78.6,-0.1,1.7,
10,Saint Louis,6,10,.375,12,19,.387,63.0,62.4,2.8,3.1,
12,Saint Joseph's,4,12,.250,11,22,.333,64.5,69.7,-1.7,3.5,
13,Charlotte,2,14,.125,10,20,.333,66.6,71.0,-2.5,1.9,
14,Fordham,1,15,.063,7,21,.250,64.1,73.9,-8.8,1.0,
