Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Virginia,16,2,.889,30,7,.811,66.2,55.7,18.4,7.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Syracuse,14,4,.778,28,6,.824,68.0,59.2,16.0,7.3,NCAA Tournament
3,Duke,13,5,.722,26,9,.743,78.4,67.4,19.5,8.5,NCAA Tournament
3,North Carolina,13,5,.722,24,10,.706,76.6,69.8,15.2,8.4,NCAA Tournament
5,Pittsburgh,11,7,.611,26,10,.722,71.8,61.9,17.5,7.5,NCAA Tournament
6,Clemson,10,8,.556,23,13,.639,63.5,58.4,11.1,6.0,
7,Florida State,9,9,.500,22,14,.611,70.9,66.4,12.6,8.1,
7,North Carolina State,9,9,.500,22,14,.611,71.1,69.6,9.0,7.4,NCAA Tournament
7,Maryland,9,9,.500,17,15,.531,70.9,67.7,11.3,8.1,
10,Miami (FL),7,11,.389,17,16,.515,61.5,59.5,7.6,5.6,
11,Wake Forest,6,12,.333,17,16,.515,69.7,70.9,5.5,6.7,
11,Georgia Tech,6,12,.333,16,17,.485,66.7,66.8,5.1,5.2,
11,Notre Dame,6,12,.333,15,17,.469,72.0,70.6,8.2,6.8,
14,Boston College,4,14,.222,8,24,.250,68.7,73.6,3.0,8.6,
15,Virginia Tech,2,16,.111,9,22,.290,62.9,67.0,1.9,6.0,
