Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,12,4,.750,17,12,.586,72.7,70.0,-2.3,-4.0,Reg. Season Champion
2,Jacksonville State,10,6,.625,20,10,.667,75.6,71.5,-5.8,-7.2,
3,Samford,9,7,.563,13,15,.464,64.0,65.5,-5.7,-3.9,
4,Georgia State,8,8,.500,14,15,.483,74.0,73.7,-6.1,-5.9,
5,Gardner-Webb,2,14,.125,5,24,.172,67.7,74.9,-11.0,-3.4,
6,Campbell,1,15,.063,5,22,.185,65.0,77.7,-19.8,-6.5,
1,Troy,14,2,.875,26,6,.813,79.9,70.7,2.9,-4.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Mercer,14,2,.875,23,6,.793,78.3,72.6,-3.9,-9.0,Reg. Season Champion
3,Central Florida,11,5,.688,21,11,.656,71.6,65.8,0.1,-5.8,
4,Jacksonville,8,8,.500,13,16,.448,66.2,69.3,-10.4,-6.1,
5,Stetson,4,12,.250,7,20,.259,68.7,78.0,-14.3,-4.8,
6,Florida Atlantic,3,13,.188,7,21,.250,69.7,76.8,-12.6,-4.2,
