Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Liberty,12,4,.750,22,11,.667,73.4,63.5,1.9,-4.0,Reg. Season Champion
2,Jacksonville,11,5,.688,21,10,.677,67.1,59.3,-2.1,-5.2,
3,Florida Gulf Coast,10,6,.625,22,12,.647,77.7,73.7,-3.1,-4.9,
4,Kennesaw State,7,9,.438,13,18,.419,74.8,71.2,-4.5,-2.6,
4,North Florida,7,9,.438,11,20,.355,68.5,71.2,-8.4,0.1,
6,Stetson,5,11,.313,11,19,.367,69.7,71.5,-10.3,-4.1,
1,Jacksonville State,13,3,.813,21,11,.656,73.5,67.2,-0.2,-3.8,NCAA Tournament; Reg. Season Champion
2,Bellarmine,11,5,.688,20,13,.606,70.1,67.2,-3.8,-1.3,Conf. Tournament Champion
3,Central Arkansas,7,9,.438,11,20,.355,73.2,81.1,-13.8,-1.7,
4,Lipscomb,6,10,.375,14,19,.424,74.0,76.8,-8.4,-3.3,
5,Eastern Kentucky,5,11,.313,13,18,.419,79.3,75.1,-6.7,-5.4,
6,North Alabama,2,14,.125,9,21,.300,69.4,68.5,-11.3,-3.2,
