Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kansas,16,0,1.000,33,4,.892,90.9,74.7,24.4,9.4,NCAA Tournament; Reg. Season Champion; NCAA FF
2,Oklahoma,13,3,.813,31,5,.861,78.0,64.6,21.0,7.7,NCAA Tournament; Conf. Tournament Champion; NCAA FF
3,Texas,10,6,.625,22,12,.647,78.1,73.2,14.3,10.0,NCAA Tournament
4,Oklahoma State,10,6,.625,23,9,.719,71.7,64.1,14.4,6.8,NCAA Tournament
5,Texas Tech,10,6,.625,23,9,.719,79.1,71.6,14.7,7.2,NCAA Tournament
6,Missouri,9,7,.563,24,12,.667,79.9,72.5,14.2,6.8,NCAA Tournament
7,Kansas State,6,10,.375,13,16,.448,68.4,70.7,3.8,6.8,
8,Nebraska,6,10,.375,13,15,.464,69.8,70.7,4.4,6.1,
9,Colorado,5,11,.313,15,14,.517,79.7,77.9,6.2,5.0,
10,Baylor,4,12,.250,14,16,.467,76.5,72.2,6.2,5.1,
11,Iowa State,4,12,.250,12,19,.387,69.7,69.7,4.0,4.9,
12,Texas A&M,3,13,.188,9,22,.290,65.0,73.9,-3.0,6.9,
