k,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Georgetown,15,3,.833,28,6,.824,69.6,58.1,18.7,7.2,NCAA Tournament; Reg. Season Champion
2,Louisville,14,4,.778,27,9,.750,72.5,61.5,19.0,8.0,NCAA Tournament
3,Notre Dame,14,4,.778,25,8,.758,79.0,69.6,16.2,7.0,NCAA Tournament
4,Connecticut,13,5,.722,24,9,.727,77.5,68.7,15.5,6.8,NCAA Tournament
5,West Virginia,11,7,.611,26,11,.703,74.8,63.6,18.0,7.2,NCAA Tournament
6,Marquette,11,7,.611,25,10,.714,75.9,64.8,18.6,8.1,NCAA Tournament
7,Pittsburgh,10,8,.556,27,10,.730,73.8,65.1,15.6,7.8,NCAA Tournament; Conf. Tournament Champion
8,Villanova,9,9,.500,22,13,.629,72.8,69.5,11.0,7.7,NCAA Tournament
9,Syracuse,9,9,.500,21,14,.600,79.0,74.3,12.6,8.0,
10,Cincinnati,8,10,.444,13,19,.406,64.6,67.8,4.9,8.5,
11,Seton Hall,7,11,.389,17,15,.531,76.6,77.3,4.8,5.5,
12,Providence,6,12,.333,15,16,.484,72.7,72.2,8.4,7.9,
13,DePaul,6,12,.333,11,19,.367,72.6,75.8,4.3,8.7,
14,St. John's (NY),5,13,.278,11,19,.367,62.1,66.5,2.9,7.3,
15,South Florida,3,15,.167,12,19,.387,68.8,68.9,5.2,6.6,
15,Rutgers,3,15,.167,11,20,.355,62.2,68.5,-1.6,7.1,
