Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Connecticut,18,2,.900,37,3,.925,81.4,63.4,26.7,8.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF; NCAA Champion
2,Marquette,14,6,.700,27,10,.730,78.1,69.8,19.3,11.0,NCAA Tournament
2,Creighton,14,6,.700,25,10,.714,80.4,69.9,20.1,9.5,NCAA Tournament
4,Seton Hall,13,7,.650,25,12,.676,73.8,69.9,12.7,8.8,
5,St. John's (NY),11,9,.550,20,13,.606,78.8,71.9,16.5,9.6,
6,Providence,10,10,.500,21,14,.600,72.4,68.8,12.6,8.9,
6,Villanova,10,10,.500,18,16,.529,70.2,65.6,14.4,9.8,
8,Butler,9,11,.450,18,15,.545,77.1,73.7,12.2,9.5,
8,Xavier,9,11,.450,16,18,.471,75.9,74.6,12.2,11.0,
10,Georgetown,2,18,.100,9,23,.281,70.8,77.9,0.7,7.7,
11,DePaul,0,20,.000,3,29,.094,64.7,81.8,-6.2,10.8,
