Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Eastern Washington,15,3,.833,21,11,.656,80.8,75.2,-1.0,-3.0,Reg. Season Champion
2,Montana,12,6,.667,24,12,.667,76.9,71.8,-1.4,-4.1,
2,Northern Colorado,12,6,.667,19,14,.576,79.3,77.0,-4.4,-5.2,
4,Weber State,11,7,.611,20,12,.625,75.4,67.5,-0.5,-4.1,
5,Montana State,9,9,.500,17,18,.486,75.3,74.5,-5.3,-4.5,NCAA Tournament; Conf. Tournament Champion
6,Portland State,8,10,.444,17,15,.531,71.9,71.8,-7.2,-4.9,
7,Northern Arizona,7,11,.389,14,19,.424,68.6,76.6,-12.2,-4.2,
7,Idaho State,7,11,.389,14,20,.412,70.5,70.1,-7.5,-5.1,
9,Idaho,5,13,.278,11,21,.344,67.8,71.2,-11.3,-4.7,
10,Sacramento State,4,14,.222,10,24,.294,67.1,70.4,-10.9,-3.7,
