Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Radford,15,3,.833,21,12,.636,75.5,71.9,-4.5,-4.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Virginia Military Institute,13,5,.722,24,8,.750,93.8,85.5,-3.3,-7.5,
3,Liberty,12,6,.667,23,12,.657,75.5,71.2,-5.4,-5.5,
4,North Carolina-Asheville,10,8,.556,15,16,.484,72.9,77.7,-11.3,-4.2,
5,Gardner-Webb,9,9,.500,13,17,.433,74.0,74.8,-8.3,-5.0,
5,Winthrop,9,9,.500,11,19,.367,61.1,66.4,-11.5,-4.5,
7,Coastal Carolina,5,13,.278,11,20,.355,69.3,70.7,-11.7,-7.0,
8,Charleston Southern,4,14,.222,9,20,.310,69.0,72.1,-14.1,-5.5,
9,High Point,4,14,.222,9,21,.300,64.4,66.7,-13.1,-5.9,
10,Presbyterian-nm,0,0,,12,17,.414,59.6,64.4,,,
