Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Michigan State,16,4,.800,32,7,.821,77.6,65.0,24.9,12.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
1,Purdue,16,4,.800,26,10,.722,76.7,67.3,21.4,12.0,NCAA Tournament; Reg. Season Champion
3,Michigan,15,5,.750,30,7,.811,69.6,58.3,21.8,10.6,NCAA Tournament
4,Wisconsin,14,6,.700,23,11,.676,68.6,61.7,17.9,11.0,NCAA Tournament
5,Maryland,13,7,.650,23,11,.676,71.4,65.5,16.0,10.1,NCAA Tournament
6,Iowa,10,10,.500,23,12,.657,78.3,73.9,14.3,9.8,NCAA Tournament
7,Minnesota,9,11,.450,22,14,.611,70.6,69.4,12.5,11.3,NCAA Tournament
8,Ohio State,8,12,.400,20,15,.571,69.1,66.2,13.9,11.0,NCAA Tournament
8,Indiana,8,12,.400,19,16,.543,71.5,67.8,13.8,10.1,
10,Rutgers,7,13,.350,14,17,.452,67.9,68.8,8.9,9.8,
10,Penn State,7,13,.350,14,18,.438,69.7,68.6,12.5,11.5,
10,Illinois,7,13,.350,12,21,.364,72.7,75.2,9.0,11.5,
13,Nebraska,6,14,.300,19,17,.528,71.8,67.3,14.8,11.3,
14,Northwestern,4,16,.200,13,19,.406,65.9,65.1,10.0,9.2,
