Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UC-Santa Barbara,15,3,.833,19,4,.826,75.8,62.1,6.1,-3.8,
2,UC-Irvine,13,4,.765,16,8,.667,73.0,63.4,2.3,-2.2,
3,UC-Riverside,10,5,.667,13,7,.650,71.1,63.5,3.5,-4.0,
4,Cal State Bakersfield,11,7,.611,15,10,.600,70.2,64.3,-1.1,-3.5,
5,UC-Davis,7,5,.583,9,7,.563,73.9,72.6,-7.5,-6.6,
6,Hawaii,9,9,.500,11,9,.550,72.6,69.5,-4.1,-4.4,
7,Cal State Northridge,5,9,.357,9,12,.429,72.5,77.3,-8.9,-2.9,
7,Cal State Fullerton,5,9,.357,6,9,.400,76.7,78.0,-6.7,-3.6,
9,Cal State Long Beach,4,8,.333,5,11,.313,72.3,79.5,-11.5,-4.3,
10,UC-San Diego,4,10,.286,7,10,.412,71.4,72.1,-8.0,-0.1,
11,Cal Poly,1,15,.063,3,19,.136,60.9,70.9,-15.8,-2.7,
