Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UNC Wilmington,15,3,.833,26,6,.813,77.0,67.7,2.5,-5.0,Reg. Season Champion
2,College of Charleston,14,4,.778,21,11,.656,75.4,73.4,-1.2,-2.6,
3,Hofstra,12,6,.667,24,10,.706,75.6,66.1,4.5,-2.5,NCAA Tournament; Conf. Tournament Champion
4,Monmouth,11,7,.611,19,15,.559,72.7,70.9,-2.1,-3.1,
5,William & Mary,10,8,.556,20,12,.625,83.1,77.7,-0.1,-2.7,
5,Drexel,10,8,.556,17,16,.515,68.1,67.3,-4.7,-4.5,
7,Towson,9,9,.500,19,15,.559,69.2,66.1,-0.8,-1.4,
7,Stony Brook,9,9,.500,17,15,.531,71.7,71.2,-5.5,-3.7,
9,Campbell,8,10,.444,16,18,.471,79.1,77.6,-2.8,-0.1,
10,Hampton,7,11,.389,13,19,.406,69.9,70.8,-8.6,-4.5,
11,Elon,6,12,.333,14,18,.438,78.1,77.9,-5.5,-3.0,
12,North Carolina A&T,4,14,.222,11,19,.367,75.1,77.8,-9.6,-5.0,
13,Northeastern,2,16,.111,7,24,.226,74.9,81.0,-8.9,-2.8,
