Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Old Dominion,15,3,.833,27,9,.750,67.1,57.5,11.4,1.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Northeastern,14,4,.778,20,13,.606,64.4,60.1,6.5,2.2,
3,William & Mary,12,6,.667,22,11,.667,67.1,64.5,2.8,1.6,
4,George Mason,12,6,.667,17,15,.531,67.0,67.5,-0.4,0.1,
5,Virginia Commonwealth,11,7,.611,27,9,.750,76.0,66.4,10.2,0.6,
6,Drexel,11,7,.611,16,16,.500,63.9,64.1,0.0,0.2,
7,Hofstra,10,8,.556,19,15,.559,70.8,68.2,1.6,0.0,
8,Towson,6,12,.333,10,21,.323,68.5,76.2,-8.5,-0.7,
9,North Carolina-Wilmington,5,13,.278,9,22,.290,66.2,71.5,-4.3,0.9,
10,Georgia State,5,13,.278,12,20,.375,62.3,63.7,-3.7,-1.5,
11,James Madison,4,14,.222,13,20,.394,67.0,69.9,-5.0,-1.5,
12,Delaware,3,15,.167,7,24,.226,63.4,72.6,-7.9,1.4,
