Rk,American,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Cincinnati,14,2,.875,31,4,.886,78.2,60.4,24.4,6.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Marquette,13,3,.813,26,7,.788,73.1,60.7,17.2,4.8,NCAA Tournament
3,Charlotte,11,5,.688,18,12,.600,73.5,68.6,13.6,8.7,NCAA Tournament
4,Saint Louis,9,7,.563,15,16,.484,63.1,62.5,6.9,6.3,
5,Louisville,8,8,.500,19,13,.594,76.0,71.6,11.7,7.4,
6,East Carolina,5,11,.313,12,18,.400,64.4,68.9,-0.8,6.6,
7,DePaul,2,14,.125,9,19,.321,70.8,76.4,0.6,6.2,
1,Memphis,12,4,.750,27,9,.750,80.0,68.8,15.3,4.7,Reg. Season Champion
2,Houston,9,7,.563,18,15,.545,71.8,72.8,4.4,5.4,
3,South Florida,8,8,.500,19,13,.594,77.1,74.2,7.9,4.9,
4,Texas Christian,6,10,.375,16,15,.516,85.3,82.5,4.4,4.2,
4,Alabama-Birmingham,6,10,.375,13,17,.433,70.3,67.7,5.6,3.0,
6,Tulane,5,11,.313,14,15,.483,72.2,73.4,3.4,6.7,
7,Southern Mississippi,4,12,.250,10,17,.370,62.1,65.8,-0.9,3.5,
