Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Memphis,16,0,1.000,38,2,.950,79.9,61.9,23.7,5.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF; *Overall W-L adjusted to 0-1
2,Alabama-Birmingham,12,4,.750,23,11,.676,73.6,67.3,8.4,2.1,
3,Houston,11,5,.688,24,10,.706,78.9,70.3,8.4,-0.2,
4,Southern Mississippi,9,7,.563,19,14,.576,72.4,66.7,3.8,1.8,
4,Central Florida,9,7,.563,16,15,.516,73.2,69.0,5.6,3.2,
6,Texas-El Paso,8,8,.500,19,14,.576,76.6,73.2,4.8,1.5,
7,Tulsa,8,8,.500,25,14,.641,70.4,65.2,7.3,3.0,
8,Marshall,8,8,.500,16,14,.533,67.3,65.7,2.2,2.2,
9,Tulane,6,10,.375,17,15,.531,65.7,66.4,0.4,2.2,
10,East Carolina,5,11,.313,11,19,.367,68.3,72.7,-4.3,2.8,
11,Southern Methodist,4,12,.250,10,20,.333,63.9,71.4,-8.4,0.9,
12,Rice,0,16,.000,3,27,.100,55.9,69.0,-10.3,2.8,
