Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Western Kentucky,11,3,.786,21,8,.724,72.7,68.0,5.2,0.5,Reg. Season Champion
2,Old Dominion,11,5,.688,15,8,.652,68.3,67.7,-1.1,-0.9,
3,Marshall,9,5,.643,15,7,.682,79.9,72.5,5.7,-1.7,
4,Florida Atlantic,7,5,.583,13,10,.565,78.1,66.8,-2.0,-4.9,
5,Charlotte,5,11,.313,9,16,.360,63.5,66.7,-5.7,-2.4,
6,Middle Tennessee,3,13,.188,5,18,.217,62.0,70.7,-10.8,-0.8,
7,Florida International,2,15,.118,9,17,.346,73.6,76.3,-11.2,-3.2,
1,Louisiana Tech,12,4,.750,24,8,.750,73.1,65.4,6.6,-0.2,Reg. Season Champion
2,UAB,13,5,.722,22,7,.759,72.6,60.3,5.8,-3.8,
3,North Texas,9,5,.643,18,10,.643,69.8,62.3,7.6,1.0,NCAA Tournament; Conf. Tournament Champion
4,UTSA,9,7,.563,15,11,.577,78.8,73.3,-1.2,-0.2,
5,UTEP,8,8,.500,12,12,.500,70.8,68.5,1.1,1.3,
6,Rice,6,10,.375,15,13,.536,73.9,73.6,-3.7,-1.5,
7,Southern Mississippi,4,13,.235,8,17,.320,64.2,66.7,-6.9,-2.1,
