Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Butler,16,2,.889,30,4,.882,68.8,58.4,13.0,2.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Cleveland State,12,6,.667,21,13,.618,67.1,63.6,3.4,1.7,
3,Wright State,12,6,.667,21,10,.677,62.7,60.4,2.4,0.5,
4,Illinois-Chicago,9,9,.500,18,15,.545,68.1,64.9,3.0,0.6,
5,Milwaukee,9,9,.500,14,16,.467,66.9,68.7,-1.0,2.2,
6,Valparaiso,9,9,.500,22,14,.611,71.1,67.9,2.3,1.3,
7,Green Bay,9,9,.500,15,15,.500,69.0,70.0,0.0,1.5,
8,Loyola (IL),6,12,.333,12,19,.387,61.3,63.7,-4.1,0.6,
9,Youngstown State,5,13,.278,9,21,.300,64.8,70.0,-5.8,1.7,
10,Detroit Mercy,3,15,.167,7,23,.233,58.8,65.4,-6.4,1.0,
