1,Butler,18,0,1.000,33,5,.868,68.7,59.4,14.4,5.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
2,Wright State,12,6,.667,20,12,.625,67.6,60.9,6.8,0.2,
3,Green Bay,11,7,.611,22,13,.629,68.5,66.9,0.3,0.7,
4,Milwaukee,10,8,.556,20,14,.588,69.7,68.1,1.2,0.5,
5,Cleveland State,10,8,.556,16,17,.485,69.2,68.3,0.6,2.1,
6,Valparaiso,10,8,.556,15,17,.469,73.3,74.3,-2.9,0.3,
7,Detroit Mercy,9,9,.500,20,14,.588,69.4,65.7,1.4,-1.6,
8,Loyola (IL),5,13,.278,14,16,.467,64.8,67.2,-4.8,0.6,
9,Illinois-Chicago,3,15,.167,8,22,.267,62.5,70.3,-7.6,0.9,
10,Youngstown State,2,16,.111,8,22,.267,66.7,69.7,-6.4,0.4,
