Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Iona,17,3,.850,27,8,.771,76.0,65.6,7.6,-2.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Rider,13,7,.650,16,14,.533,70.2,67.6,-3.5,-4.9,
3,Quinnipiac,11,9,.550,20,12,.625,73.0,69.7,-2.4,-5.2,
3,Siena,11,9,.550,17,15,.531,68.6,67.2,-3.4,-4.8,
5,Niagara,10,10,.500,16,15,.516,65.0,65.9,-6.8,-4.6,
5,Manhattan,10,10,.500,12,18,.400,67.2,70.4,-9.9,-4.9,
7,Fairfield,9,11,.450,13,18,.419,64.9,66.0,-7.0,-4.5,
8,Mount St. Mary's,8,12,.400,13,20,.394,63.7,67.0,-8.2,-4.0,
8,Canisius,8,12,.400,10,20,.333,70.4,72.3,-7.0,-3.5,
10,Saint Peter's,7,13,.350,14,18,.438,62.1,65.1,-9.9,-5.3,
11,Marist,6,14,.300,13,20,.394,63.9,66.7,-8.4,-5.7,
