Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Miami (OH),12,6,.667,19,11,.633,65.7,61.3,7.7,3.6,Reg. Season Champion
2,Ohio,11,7,.611,21,11,.656,71.5,67.9,5.4,1.8,NCAA Tournament; Conf. Tournament Champion
3,Kent State,11,7,.611,20,13,.606,70.4,66.9,5.4,2.8,
4,Akron,11,7,.611,19,10,.655,71.8,65.6,7.0,1.7,
5,Buffalo,11,7,.611,23,10,.697,74.6,71.0,6.0,2.4,
6,Marshall,3,15,.167,6,22,.214,66.8,73.9,-3.5,3.6,
1,Toledo,11,7,.611,16,13,.552,70.9,68.6,4.8,3.2,Reg. Season Champion
2,Western Michigan,11,7,.611,20,13,.606,72.9,67.2,7.2,2.0,Reg. Season Champion
3,Bowling Green State,10,8,.556,18,11,.621,69.8,68.6,2.0,1.8,
4,Ball State,10,8,.556,15,13,.536,71.1,68.3,4.3,3.3,
5,Northern Illinois,7,11,.389,11,17,.393,68.4,69.2,1.3,2.1,
6,Eastern Michigan,5,13,.278,12,18,.400,72.6,73.5,-2.4,0.8,
7,Central Michigan,4,14,.222,10,18,.357,66.3,75.1,-7.4,2.9,
