Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Toledo,17,3,.850,26,8,.765,79.9,68.6,6.3,-3.2,Reg. Season Champion
1,Kent State,16,4,.800,23,11,.676,71.3,65.2,-0.1,-3.1,
2,Ohio,14,6,.700,25,10,.714,74.0,67.9,1.5,-4.2,
2,Akron,14,6,.700,24,10,.706,70.6,62.6,0.9,-3.9,NCAA Tournament; Conf. Tournament Champion
2,Ball State,9,10,.474,14,17,.452,74.3,76.8,-8.0,-4.6,
3,Central Michigan,6,12,.333,7,23,.233,65.9,77.0,-12.6,-1.5,
4,Buffalo,13,6,.684,19,11,.633,79.9,72.3,1.9,-3.2,
4,Northern Illinois,6,14,.300,9,21,.300,64.1,71.5,-10.5,-3.1,
5,Miami (OH),8,12,.400,14,18,.438,75.3,73.5,-6.3,-4.1,
5,Eastern Michigan,5,15,.250,10,21,.323,69.1,76.0,-10.9,-3.0,
6,Bowling Green,6,14,.300,13,18,.419,80.3,80.5,-8.8,-4.4,
6,Western Michigan,4,16,.200,8,23,.258,65.4,75.1,-13.5,-2.3,
