Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Delaware State,16,2,.889,21,13,.618,59.7,58.8,-6.7,-6.6,Reg. Season Champion
2,Florida A&M,12,6,.667,21,14,.600,70.5,70.5,-9.7,-7.5,NCAA Tournament; Conf. Tournament Champion
3,Hampton,10,8,.556,15,16,.484,68.2,68.6,-10.1,-8.9,
3,North Carolina A&T,10,8,.556,15,17,.469,73.4,72.4,-11.7,-10.1,
3,South Carolina State,10,8,.556,13,17,.433,66.3,68.6,-12.6,-9.9,
3,Morgan State,10,8,.556,13,18,.419,68.0,70.3,-12.1,-9.7,
3,Norfolk State,10,8,.556,11,19,.367,65.7,74.5,-16.9,-8.2,
8,Coppin State,9,9,.500,12,20,.375,61.6,70.5,-15.2,-5.2,
9,Bethune-Cookman,6,12,.333,9,21,.300,54.4,64.2,-20.7,-9.5,
10,Howard,5,13,.278,9,22,.290,64.8,72.0,-17.8,-10.6,
11,Maryland-Eastern Shore,1,17,.056,4,27,.129,60.6,73.5,-23.0,-9.0,
