Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Southern Illinois,15,3,.833,29,7,.806,62.9,56.2,13.6,7.5,NCAA Tournament; Reg. Season Champion
2,Creighton,13,5,.722,22,11,.667,67.3,60.9,12.6,6.2,NCAA Tournament; Conf. Tournament Champion
3,Missouri State,12,6,.667,22,11,.667,73.9,65.2,14.0,5.9,
4,Bradley,10,8,.556,22,13,.629,74.7,70.7,10.9,7.2,
5,Northern Iowa,9,9,.500,18,13,.581,65.8,62.8,8.0,6.0,
6,Wichita State,8,10,.444,17,14,.548,68.6,64.1,10.1,6.4,
7,Drake,6,12,.333,17,15,.531,74.9,74.2,3.6,4.6,
7,Illinois State,6,12,.333,15,16,.484,66.7,65.0,5.7,4.6,
7,Evansville,6,12,.333,14,17,.452,68.7,68.2,5.1,4.5,
10,Indiana State,5,13,.278,13,18,.419,61.5,65.6,2.2,6.8,
