Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,San Diego State,17,1,.944,30,2,.938,74.8,59.5,18.4,3.9,Reg. Season Champion
2,Utah State,12,6,.667,26,8,.765,76.5,64.1,13.7,4.0,Conf. Tournament Champion
2,Nevada,12,6,.667,19,12,.613,77.1,72.4,8.9,4.1,
2,Nevada-Las Vegas,12,6,.667,17,15,.531,72.1,70.1,6.8,4.8,
5,Boise State,11,7,.611,20,12,.625,75.9,69.5,8.6,4.4,
5,Colorado State,11,7,.611,20,12,.625,75.5,72.1,6.7,4.0,
7,New Mexico,7,11,.389,19,14,.576,76.7,75.2,3.5,2.6,
7,Fresno State,7,11,.389,11,19,.367,69.2,68.9,2.1,3.4,
9,Air Force,5,13,.278,12,20,.375,73.1,74.6,-0.4,3.0,
10,San Jose State,3,15,.167,7,24,.226,69.9,81.4,-7.5,5.2,
11,Wyoming,2,16,.111,9,24,.273,62.7,69.9,-3.1,4.8,
