Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Monmouth,14,4,.778,16,13,.552,63.6,63.2,-6.6,-7.0,Reg. Season Champion
2,Fairleigh Dickinson,13,5,.722,20,13,.606,73.7,70.0,-4.1,-6.9,NCAA Tournament; Conf. Tournament Champion
3,Robert Morris,11,7,.611,14,15,.483,69.6,70.2,-9.9,-7.1,
4,Long Island University,10,8,.556,14,15,.483,67.4,71.3,-12.3,-7.9,
5,Saint Francis (PA),10,8,.556,15,13,.536,69.5,70.5,-9.6,-7.6,
6,Wagner,10,8,.556,13,17,.433,62.1,65.0,-9.9,-6.9,
7,St. Francis (NY),9,9,.500,13,15,.464,70.0,70.1,-8.8,-8.7,
8,Central Connecticut State,8,10,.444,12,16,.429,68.5,69.6,-8.3,-7.2,
9,Quinnipiac,6,12,.333,10,17,.370,74.9,78.9,-14.6,-7.5,
10,Mount St. Mary's,5,13,.278,7,20,.259,65.4,71.7,-15.7,-8.2,
11,Sacred Heart,3,15,.167,4,23,.148,65.0,74.4,-16.7,-7.4,
