Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,18,2,.900,26,4,.867,81.3,69.1,3.5,-8.7,Reg. Season Champion
2,Morehead State,17,3,.850,23,8,.742,68.8,64.1,-1.0,-4.3,NCAA Tournament; Conf. Tournament Champion
3,Eastern Kentucky,15,5,.750,22,7,.759,81.8,73.7,-2.7,-8.2,
4,Jacksonville State,13,6,.684,18,9,.667,74.3,68.6,-3.0,-6.1,
5,Austin Peay,10,10,.500,14,13,.519,74.3,70.0,-6.7,-8.2,
5,Murray State,10,10,.500,13,13,.500,76.4,66.9,-2.9,-8.2,
7,Southeast Missouri State,9,11,.450,11,16,.407,69.0,71.7,-10.2,-7.5,
8,Southern Illinois-Edwardsville,7,12,.368,9,17,.346,65.7,73.0,-14.9,-6.0,
9,Eastern Illinois,6,14,.300,9,18,.333,69.4,74.9,-12.7,-7.2,
9,Tennessee-Martin,6,14,.300,8,16,.333,65.5,77.0,-19.4,-5.9,
11,Tennessee Tech,5,15,.250,5,22,.185,66.6,76.9,-14.1,-3.8,
12,Tennessee State,3,17,.150,4,19,.174,68.4,74.0,-14.1,-7.2,
