Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Arizona,15,5,.750,27,9,.750,87.1,72.1,24.5,9.5,NCAA Tournament; Reg. Season Champion
2,Washington State,14,6,.700,25,10,.714,73.5,66.7,14.0,7.2,NCAA Tournament
3,Colorado,13,7,.650,26,11,.703,79.3,71.7,16.0,8.4,NCAA Tournament
4,Oregon,12,8,.600,24,12,.667,75.6,72.3,12.2,8.9,NCAA Tournament; Conf. Tournament Champion
5,UCLA,10,10,.500,16,17,.485,66.0,65.5,7.5,7.8,
6,Utah,9,11,.450,22,15,.595,78.8,73.2,15.0,9.4,
6,Washington,9,11,.450,17,15,.531,80.6,77.1,11.9,8.4,
6,California,9,11,.450,13,19,.406,74.0,77.0,4.9,8.0,
9,Southern California,8,12,.400,15,18,.455,74.1,74.3,9.4,9.5,
9,Arizona State,8,12,.400,14,18,.438,69.0,74.0,4.6,9.6,
9,Stanford,8,12,.400,14,18,.438,76.3,76.5,7.4,7.5,
12,Oregon State,5,15,.250,13,19,.406,68.9,72.7,3.3,8.4,
