Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Stanford,15,3,.833,27,4,.871,78.9,59.7,25.7,7.1,NCAA Tournament; Reg. Season Champion
1,Arizona,15,3,.833,27,7,.794,76.4,67.2,19.0,9.7,NCAA Tournament; Reg. Season Champion
3,Oregon,13,5,.722,22,8,.733,75.6,68.2,14.7,8.5,NCAA Tournament
4,UCLA,10,8,.556,21,12,.636,75.5,70.3,15.3,10.1,NCAA Tournament
4,Arizona State,10,8,.556,19,13,.594,79.3,74.8,12.1,8.8,
6,Southern California,9,9,.500,16,14,.533,78.1,72.7,14.2,8.8,
7,University of California,7,11,.389,18,15,.545,72.0,70.9,9.6,8.6,
8,Oregon State,5,13,.278,13,16,.448,69.1,69.5,6.7,8.7,
8,Washington,5,13,.278,10,20,.333,66.0,72.8,2.5,10.0,
10,Washington State,1,17,.056,6,22,.214,63.5,73.1,-1.9,7.7,
