Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Boston University,15,3,.833,24,11,.686,71.2,67.0,1.8,-2.4,Reg. Season Champion
2,American,13,5,.722,20,13,.606,63.1,59.1,0.7,-3.2,NCAA Tournament; Conf. Tournament Champion
3,Holy Cross,12,6,.667,20,14,.588,67.0,65.3,-1.6,-3.3,
4,Bucknell,11,7,.611,16,14,.533,65.9,64.1,-1.3,-3.1,
5,Army,10,8,.556,15,16,.484,72.4,73.2,-6.2,-4.7,
6,Lehigh,7,11,.389,14,18,.438,66.3,69.0,-6.5,-3.8,
7,Colgate,6,12,.333,13,18,.419,69.6,67.2,-2.5,-4.1,
7,Loyola (MD),6,12,.333,11,19,.367,65.2,71.9,-10.6,-3.2,
7,Lafayette,6,12,.333,11,20,.355,71.4,74.7,-7.6,-3.4,
10,Navy,4,14,.222,9,21,.300,60.7,65.2,-11.9,-5.5,
