Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Florida,13,3,.813,29,8,.784,72.1,63.4,16.3,7.6,NCAA Tournament; Reg. Season Champion
2,Kentucky,10,6,.625,29,9,.763,74.9,63.5,20.3,8.9,NCAA Tournament; Conf. Tournament Champion; NCAA FF
3,Vanderbilt,9,7,.563,23,11,.676,75.9,67.7,15.1,6.9,NCAA Tournament
3,Georgia,9,7,.563,21,12,.636,68.7,64.4,10.4,6.1,NCAA Tournament
5,Tennessee,8,8,.500,19,15,.559,69.9,67.5,11.1,8.7,NCAA Tournament
6,South Carolina,5,11,.313,14,16,.467,67.6,69.0,4.2,5.6,
1,Alabama,12,4,.750,25,12,.676,66.8,59.4,11.7,4.3,Reg. Season Champion
2,Mississippi State,9,7,.563,17,14,.548,69.8,70.2,3.4,3.8,
3,Mississippi,7,9,.438,20,14,.588,73.9,69.1,8.7,3.9,
3,Arkansas,7,9,.438,18,13,.581,70.7,66.7,6.3,2.3,
5,Auburn,4,12,.250,11,20,.355,62.4,66.2,-2.5,2.4,
6,Louisiana State,3,13,.188,11,21,.344,62.2,66.6,-2.1,2.3,
