Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kentucky,16,0,1.000,38,2,.950,77.4,60.6,24.7,7.9,NCAA Tournament; Reg. Season Champion; NCAA FF; NCAA Champion
2,Florida,10,6,.625,26,11,.703,75.9,65.0,18.3,7.3,NCAA Tournament
2,Vanderbilt,10,6,.625,25,11,.694,72.6,65.0,15.7,8.0,NCAA Tournament; Conf. Tournament Champion
2,Tennessee,10,6,.625,19,15,.559,68.8,65.2,9.5,6.6,
5,Alabama,9,7,.563,21,12,.636,64.7,58.1,13.8,7.2,NCAA Tournament
6,Mississippi State,8,8,.500,21,12,.636,72.0,67.8,9.1,4.9,
6,Mississippi,8,8,.500,20,14,.588,66.9,66.2,6.5,5.8,
8,Louisiana State,7,9,.438,18,15,.545,65.4,64.2,6.7,5.5,
9,Arkansas,6,10,.375,18,14,.563,71.8,69.7,5.8,3.6,
10,Auburn,5,11,.313,15,16,.484,62.6,64.0,2.5,3.8,
10,Georgia,5,11,.313,15,17,.469,60.9,63.0,5.9,8.0,
12,South Carolina,2,14,.125,10,21,.323,61.4,65.0,2.7,6.3,
