Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Chattanooga,10,6,.625,20,11,.645,72.7,65.6,-1.4,-3.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Appalachian State,9,7,.563,18,12,.600,73.1,69.0,-3.8,-4.0,
2,North Carolina-Greensboro,9,7,.563,18,12,.600,72.3,72.9,-7.2,-3.0,
4,Elon,5,11,.313,8,23,.258,60.3,67.4,-10.9,-2.8,
5,East Tennessee State,4,12,.250,10,19,.345,76.8,78.7,-9.8,-3.3,
6,Western Carolina,3,13,.188,8,22,.267,69.8,75.3,-12.9,-2.5,
1,Davidson,16,0,1.000,23,9,.719,72.4,65.7,1.6,-1.1,Reg. Season Champion
2,College of Charleston,10,6,.625,18,10,.643,72.1,67.8,-0.7,-5.0,
2,Georgia Southern,10,6,.625,18,13,.581,80.8,75.2,-2.3,-5.3,
4,Furman,9,7,.563,16,13,.552,73.1,65.6,-4.0,-3.7,
5,Wofford,7,9,.438,14,14,.500,72.9,70.0,-6.4,-3.8,
6,Citadel,4,12,.250,12,16,.429,66.7,69.8,-14.0,-6.6,
