Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UNC Greensboro,13,5,.722,21,9,.700,73.0,67.3,3.5,-2.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Wofford,12,5,.706,15,9,.625,74.3,67.8,1.8,-0.2,
3,Furman,10,5,.667,16,9,.640,79.6,68.9,6.0,-1.7,
4,Chattanooga,9,7,.563,18,8,.692,72.6,69.3,-1.5,-2.9,
5,East Tennessee State,8,7,.533,13,12,.520,69.4,66.2,1.6,0.3,
6,Virginia Military Institute,7,7,.500,13,12,.520,80.0,75.9,-0.4,-0.8,
7,Mercer,8,9,.471,18,11,.621,76.7,71.8,1.3,-1.6,
8,The Citadel,5,11,.313,13,12,.520,80.8,78.4,-6.1,-1.5,
9,Western Carolina,4,13,.235,11,16,.407,75.5,78.9,-7.4,-2.0,
10,Samford,2,9,.182,6,13,.316,76.8,79.5,-8.9,-1.6,
