Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Northwestern State,10,6,.625,17,15,.531,78.8,77.6,-3.6,-4.0,Reg. Season Champion
2,McNeese State,9,7,.563,15,17,.469,63.4,67.3,-11.3,-4.7,
3,Southeastern Louisiana,8,8,.500,16,14,.533,68.3,68.9,-8.9,-6.0,
3,Lamar,8,8,.500,15,17,.469,74.0,76.2,-7.9,-3.5,
5,Nicholls State,7,9,.438,8,22,.267,71.5,80.9,-12.3,-1.9,
6,Central Arkansas-nm,4,12,.250,10,20,.333,65.3,67.3,,,
1,Texas A&M-Corpus Christi,14,2,.875,26,7,.788,79.2,69.8,3.1,-4.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Sam Houston State,13,3,.813,21,10,.677,77.3,68.6,-1.1,-5.4,
3,Stephen F. Austin,8,8,.500,15,14,.517,66.8,62.2,-5.5,-6.4,
3,Texas-Arlington,8,8,.500,13,17,.433,74.2,76.4,-11.8,-6.4,
5,Texas State,4,12,.250,9,20,.310,77.6,85.4,-17.5,-6.1,
6,Texas-San Antonio,3,13,.188,7,22,.241,57.1,66.3,-15.5,-4.1,
