Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,McNeese State,19,1,.950,28,7,.800,76.6,64.5,9.1,-1.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Lamar,14,6,.700,20,13,.606,69.9,65.8,-2.2,-2.6,
3,Nicholls State,13,7,.650,20,13,.606,74.0,69.6,-2.1,-2.5,
4,Texas A&M-Corpus Christi,12,8,.600,20,14,.588,75.8,67.4,-1.0,-3.4,
4,Southeastern Louisiana,12,8,.600,18,14,.563,72.6,69.8,-4.0,-4.7,
4,Northwestern State,12,8,.600,16,16,.500,67.1,68.9,-5.1,-1.4,
7,Incarnate Word,9,11,.450,19,17,.528,73.9,69.7,-5.6,-5.2,
7,Houston Christian,9,11,.450,12,20,.375,66.0,69.4,-8.2,-3.0,
9,Texas-Rio Grande Valley,8,12,.400,16,15,.516,76.7,74.0,-6.0,-3.4,
10,Stephen F. Austin,7,13,.350,14,17,.452,66.6,68.3,-8.0,-3.3,
11,East Texas A&M,3,17,.150,5,26,.161,64.4,74.9,-12.4,-1.9,
12,New Orleans,2,18,.100,4,27,.129,67.9,82.5,-15.2,-0.6,
