Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Mississippi Valley State,16,2,.889,22,7,.759,68.2,60.3,-4.4,-12.9,Reg. Season Champion
2,Alabama State,11,7,.611,16,15,.516,61.4,61.7,-11.1,-10.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Texas Southern,10,8,.556,14,15,.483,66.1,66.3,-13.8,-13.0,
4,Alabama A&M,9,9,.500,13,17,.433,70.4,74.0,-15.9,-12.3,
5,Jackson State,9,9,.500,12,17,.414,63.3,65.6,-13.3,-11.1,
6,Alcorn State,9,9,.500,11,18,.379,64.0,72.3,-20.2,-11.8,
7,Grambling,9,9,.500,11,18,.379,70.0,74.6,-16.1,-9.9,
8,Southern,9,9,.500,12,16,.429,69.5,68.9,-13.0,-12.8,
9,Prairie View,7,11,.389,7,20,.259,62.0,73.0,-20.6,-9.6,
10,Arkansas-Pine Bluff,1,17,.056,1,26,.037,52.2,74.4,-30.7,-8.5,
