Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Oakland,17,1,.944,26,9,.743,76.5,71.5,-0.6,-3.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,IUPUI,15,3,.833,25,11,.694,74.5,67.2,1.6,-4.1,
3,Oral Roberts,13,5,.722,20,13,.606,70.1,66.1,-0.9,-3.8,
4,South Dakota State,10,8,.556,14,16,.467,74.2,73.2,-6.0,-5.0,
5,Purdue-Fort Wayne,9,9,.500,16,15,.516,68.7,68.1,-9.4,-4.7,
6,North Dakota State,8,10,.444,11,18,.379,70.6,72.0,-8.5,-5.8,
7,Western Illinois,6,12,.333,13,17,.433,59.0,60.1,-11.8,-5.8,
8,Missouri-Kansas City,6,12,.333,12,18,.400,66.7,70.2,-13.9,-4.8,
9,Centenary (LA),3,15,.167,8,21,.276,70.9,80.0,-17.2,-5.1,
9,Southern Utah,3,15,.167,7,22,.241,64.2,73.3,-17.4,-4.8,
