Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Western Kentucky,13,1,.929,28,4,.875,77.8,64.7,10.5,-0.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Little Rock,8,6,.571,18,11,.621,74.2,66.9,2.7,-2.5,
3,Middle Tennessee,6,8,.429,14,15,.483,66.9,67.2,-3.5,-0.8,
4,Arkansas State,5,9,.357,15,16,.484,72.9,67.0,2.1,-2.0,
5,Florida International,4,10,.286,10,20,.333,63.6,67.6,-5.4,-0.5,
1,Louisiana,11,4,.733,20,11,.645,69.2,66.3,2.2,0.2,Reg. Season Champion
2,New Mexico State,11,4,.733,20,12,.625,77.9,73.2,3.7,-0.2,Reg. Season Champion
3,New Orleans,9,6,.600,15,14,.517,66.2,67.7,-4.0,-1.3,
4,North Texas,8,7,.533,15,14,.517,78.4,78.2,-0.9,1.1,
5,Denver,3,12,.200,8,20,.286,65.0,69.9,-8.2,-1.6,
6,South Alabama,2,13,.133,7,21,.250,64.5,70.5,-7.5,-0.3,
