Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Arkansas State,13,5,.722,25,11,.694,79.4,70.2,5.8,-2.4,Reg. Season Champion
1,Troy,13,5,.722,23,11,.676,73.4,65.7,3.6,-2.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,South Alabama,13,5,.722,21,11,.656,72.9,64.6,1.5,-4.1,Reg. Season Champion
1,James Madison,13,5,.722,20,12,.625,73.9,70.5,-1.7,-2.7,Reg. Season Champion
5,Marshall,12,6,.667,20,13,.606,75.7,71.7,-2.3,-4.5,
6,Appalachian State,10,8,.556,17,14,.548,67.8,63.5,-2.6,-3.8,
7,Texas State,9,9,.500,16,16,.500,76.2,73.3,-3.6,-3.8,
8,Georgia Southern,8,10,.444,17,16,.515,74.2,75.9,-7.5,-5.5,
8,Old Dominion,8,10,.444,15,20,.429,67.9,71.5,-9.7,-4.3,
8,Georgia State,8,10,.444,14,19,.424,75.1,78.3,-7.5,-3.0,
8,Louisiana,8,10,.444,12,21,.364,65.4,73.0,-10.7,-2.3,
12,Southern Mississippi,5,13,.278,11,22,.333,71.3,76.0,-9.9,-3.3,
13,Coastal Carolina,3,15,.167,10,22,.313,66.8,71.1,-12.1,-5.9,
13,Louisiana-Monroe,3,15,.167,7,25,.219,68.9,75.5,-15.1,-4.3,
