Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Gonzaga,17,1,.944,35,3,.921,78.7,61.7,21.1,5.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Brigham Young,13,5,.722,25,10,.714,83.7,73.2,13.5,5.0,NCAA Tournament
2,Saint Mary's (CA),13,5,.722,21,10,.677,69.1,64.0,8.7,3.8,
4,Pepperdine,10,8,.556,18,14,.563,63.1,61.6,3.9,2.8,
5,San Diego,8,10,.444,15,16,.484,64.7,62.9,5.0,3.5,
6,Portland,7,11,.389,17,16,.515,70.2,68.3,3.1,2.7,
6,San Francisco,7,11,.389,14,18,.438,69.2,67.7,3.1,2.8,
6,Santa Clara,7,11,.389,14,18,.438,63.3,66.8,-0.4,4.1,
9,Pacific,4,14,.222,12,19,.387,64.4,68.2,-3.2,3.3,
9,Loyola Marymount,4,14,.222,8,23,.258,62.2,70.6,-4.1,5.3,
