Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Grand Canyon,17,3,.850,29,4,.879,79.8,66.9,10.1,-1.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Tarleton State,16,4,.800,24,9,.727,73.8,68.8,0.9,-0.8,
3,UT Arlington,13,7,.650,20,14,.588,76.9,73.3,2.5,0.8,
4,Seattle,11,9,.550,19,14,.576,73.6,67.4,3.4,-1.3,
4,Utah Valley,11,9,.550,16,16,.500,68.7,68.6,-1.3,0.0,
6,Stephen F. Austin,10,10,.500,18,15,.545,74.6,71.3,-0.9,-1.7,
6,Abilene Christian,10,10,.500,16,17,.485,72.5,73.2,-3.5,-1.2,
8,California Baptist,8,12,.400,16,17,.485,67.3,66.6,-2.3,-2.2,
9,Utah Tech,7,13,.350,11,20,.355,70.8,77.1,-8.0,-1.1,
10,Southern Utah,5,15,.250,10,21,.323,75.0,77.6,-5.6,-1.1,
11,Texas-Rio Grande Valley,2,18,.100,6,25,.194,70.4,79.8,-13.3,-0.8,
