Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big 12 Conference,10,207,133,.609,13.24,9.09,4,7,0,Kansas,Iowa State
2,Big Ten Conference,12,258,159,.619,13.18,8.31,4,6,1,Michigan,Michigan State
3,Pac-12 Conference,12,248,160,.608,11.22,7.59,2,6,0,Arizona,UCLA
4,Big East Conference,10,198,136,.593,10.90,7.21,2,4,0,Villanova,Providence
5,Atlantic Coast Conference,15,300,210,.588,10.80,7.21,4,6,0,Virginia,Virginia
6,Southeastern Conference,14,281,199,.585,9.66,6.47,1,3,2,Florida,Florida
7,American Athletic Conference,10,204,138,.596,9.08,5.79,3,4,1,Cincinnati Louisville,Louisville
8,Atlantic 10 Conference,13,251,176,.588,6.55,4.12,2,6,0,Saint Louis,Saint Joseph's
9,West Coast Conference,10,189,146,.564,5.23,3.63,0,2,0,Gonzaga,Gonzaga
10,Mountain West Conference,11,206,160,.563,4.64,3.26,2,2,0,San Diego State,New Mexico
11,Missouri Valley Conference,10,177,152,.538,1.53,0.98,1,1,0,Wichita State,Wichita State
12,Horizon League,9,152,145,.512,-0.50,-0.22,0,1,0,Green Bay,Milwaukee
13,Conference USA,16,280,248,.530,-1.15,-0.84,0,1,0,Louisiana Tech Middle Tennessee Tulsa,Tulsa
14,Mid-American Conference,12,208,184,.531,-1.49,-0.95,0,1,0,Buffalo (East) Toledo (West) Western Michigan (West),Western Michigan
15,Ivy League,8,125,117,.517,-1.77,-1.67,0,1,0,Harvard,
16,Big West Conference,9,140,150,.483,-1.90,-0.73,0,1,0,UC-Irvine,Cal Poly
17,Metro Atlantic Athletic Conference,11,173,187,.481,-2.31,-1.53,0,1,0,Iona,Manhattan
18,Sun Belt Conference,10,157,160,.495,-2.75,-1.41,0,1,0,Georgia State,Louisiana
19,Colonial Athletic Association,9,141,152,.481,-2.78,-1.53,0,1,0,Delaware,Delaware
20,Summit League,8,131,125,.512,-2.92,-1.74,0,1,0,North Dakota State,North Dakota State
21,Patriot League,10,153,164,.483,-4.58,-3.67,0,1,0,Boston University,American
22,Western Athletic Conference,9,135,153,.469,-5.77,-3.41,0,1,0,Utah Valley,New Mexico State
23,Ohio Valley Conference,12,185,201,.479,-6.54,-4.28,0,1,0,Belmont (East) Murray State (West),Eastern Kentucky
24,Big Sky Conference,11,159,182,.466,-7.38,-4.79,0,1,0,Weber State,Weber State
25,Atlantic Sun Conference,10,152,172,.469,-7.47,-4.72,0,1,0,Florida Gulf Coast Mercer,Mercer
26,Northeast Conference,10,138,178,.437,-8.67,-5.31,0,1,0,Robert Morris,Mount St. Mary's
27,America East Conference,9,119,162,.423,-9.19,-5.59,0,1,0,Vermont,Albany (NY)
28,Big South Conference,12,186,206,.474,-9.84,-6.56,0,1,0,High Point (North) Coastal Carolina (South),Coastal Carolina
29,Southland Conference,14,206,226,.477,-10.37,-6.20,0,1,0,Stephen F. Austin,Stephen F. Austin
30,Southern Conference,11,162,195,.454,-10.38,-6.54,0,1,0,Davidson,Wofford
31,Mid-Eastern Athletic Conference,13,167,246,.404,-11.13,-6.53,0,1,0,North Carolina Central,North Carolina Central
32,Independent,1,13,16,.448,-12.52,-7.48,0,0,0,,
33,Southwest Athletic Conference,10,132,184,.418,-14.47,-9.03,0,1,0,Southern,Texas Southern
